Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Uncultured archaeon clone C29-1 NifH (nifH) gene, partial cds",uncultured archaeon,88.7,88.7,0%,6e-13,73.12,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099634.1?report=genbank&log$=nucltop&blast_rank=86&RID=8HKD5Z2Z013"",""EU099634.1"")"
"Uncultured archaeon clone C27-2 NifH (nifH) gene, partial cds",uncultured archaeon,88.7,88.7,0%,6e-13,73.12,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099633.1?report=genbank&log$=nucltop&blast_rank=87&RID=8HKD5Z2Z013"",""EU099633.1"")"
"Uncultured archaeon clone C25-2 NifH (nifH) gene, partial cds",uncultured archaeon,88.7,88.7,0%,6e-13,73.12,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099628.1?report=genbank&log$=nucltop&blast_rank=88&RID=8HKD5Z2Z013"",""EU099628.1"")"
"Uncultured archaeon clone C25-1 NifH-like (nifH) gene, partial sequence",uncultured archaeon,88.7,88.7,0%,6e-13,73.12,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU099627.1?report=genbank&log$=nucltop&blast_rank=89&RID=8HKD5Z2Z013"",""EU099627.1"")"
"Uncultured archaeon clone 10nifH2C8 NifH (nifH) gene, partial cds",uncultured archaeon,86.9,86.9,0%,2e-12,71.18,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT223539.1?report=genbank&log$=nucltop&blast_rank=90&RID=8HKD5Z2Z013"",""KT223539.1"")"
"Uncultured archaeon clone 12nifHC25 NifH (nifH) gene, partial cds",uncultured archaeon,84.2,84.2,0%,7e-12,70.76,321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT223555.1?report=genbank&log$=nucltop&blast_rank=91&RID=8HKD5Z2Z013"",""KT223555.1"")"
"Uncultured archaeon clone 40H-0N-30 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,83.3,83.3,0%,3e-11,72.22,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713994.1?report=genbank&log$=nucltop&blast_rank=92&RID=8HKD5Z2Z013"",""EU713994.1"")"
Uncultured archaeon clone rifcsphigho2_01_646_cur,uncultured archaeon,82.4,82.4,0%,3e-11,75.40,62802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK005750.1?report=genbank&log$=nucltop&blast_rank=93&RID=8HKD5Z2Z013"",""MK005750.1"")"
Uncultured archaeon clone gwa2_scaffold_65 genomic sequence,uncultured archaeon,81.5,81.5,0%,9e-11,67.84,364120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308565.1?report=genbank&log$=nucltop&blast_rank=94&RID=8HKD5Z2Z013"",""KP308565.1"")"
Uncultured archaeon clone gwa2_scaffold_1018 genomic sequence,uncultured archaeon,76.1,76.1,0%,4e-09,66.11,88563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP308577.1?report=genbank&log$=nucltop&blast_rank=95&RID=8HKD5Z2Z013"",""KP308577.1"")"
uncultured archaeon clone fos0128g3+03e1 complete sequence,uncultured archaeon,76.1,76.1,0%,4e-09,82.43,66432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CR937008.1?report=genbank&log$=nucltop&blast_rank=96&RID=8HKD5Z2Z013"",""CR937008.1"")"
uncultured archaeon fos122a6+28b5,uncultured archaeon,76.1,76.1,0%,4e-09,82.43,62584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CR937007.1?report=genbank&log$=nucltop&blast_rank=97&RID=8HKD5Z2Z013"",""CR937007.1"")"
"Uncultured archaeon GZfos26G2 clone GZfos26G2, complete sequence",uncultured archaeon GZfos26G2,73.4,73.4,0%,1e-08,79.31,42262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY714843.2?report=genbank&log$=nucltop&blast_rank=98&RID=8HKD5Z2Z013"",""AY714843.2"")"
"Uncultured archaeon clone 40H-0N-29 dinitrogenase reductase (nifH) gene, partial cds",uncultured archaeon,66.2,66.2,0%,2e-06,68.94,419,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU713993.1?report=genbank&log$=nucltop&blast_rank=99&RID=8HKD5Z2Z013"",""EU713993.1"")"
"Uncultured archaeon clone 65_10592 23S ribosomal RNA, tRNA-Cys, and 5S ribosomal RNA genes, complete sequence",uncultured archaeon,65.3,65.3,0%,7e-06,80.00,3270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY994153.1?report=genbank&log$=nucltop&blast_rank=100&RID=8HKD5Z2Z013"",""KY994153.1"")"



		


