## Fri Apr 22 10:59:18 2022
## emapper-2.1.7
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_6l_ond4p/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
CAH04776.1	351160.RCIX258	1.46e-265	725.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04777.1	351160.RCIX259	1.02e-263	721.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04778.1	351160.RCIX261	3.28e-263	718.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04779.1	351160.RCIX262	5.3e-267	729.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
CAH04780.1	351160.RCIX264	1.3e-238	654.0	arCOG03320@1|root,arCOG03320@2157|Archaea,2XTF6@28890|Euryarchaeota,2NA0Q@224756|Methanomicrobia	224756|Methanomicrobia	M	to orf2, orf11, orf12, orf13, orf14, orf15 of fosmid clone 4B7mr3	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_6
VVB92121.1	694431.DESACE_07650	4.07e-217	627.0	COG0642@1|root,COG2205@2|Bacteria,1MUZQ@1224|Proteobacteria,42NZF@68525|delta/epsilon subdivisions,2WJNR@28221|Deltaproteobacteria	28221|Deltaproteobacteria	T	Histidine kinase	kdpD	-	2.7.13.3	ko:K07646	ko02020,map02020	M00454	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	DUF4118,GAF_3,HATPase_c,HisKA,KdpD,Usp
VVB92123.1	243231.GSU2482	1.93e-64	203.0	COG2156@1|root,COG2156@2|Bacteria,1RABG@1224|Proteobacteria,42SC9@68525|delta/epsilon subdivisions,2WPDZ@28221|Deltaproteobacteria	28221|Deltaproteobacteria	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit acts as a catalytic chaperone that increases the ATP- binding affinity of the ATP-hydrolyzing subunit KdpB by the formation of a transient KdpB KdpC ATP ternary complex	kdpC	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044425,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01548	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	-	KdpC
VVB92125.1	404380.Gbem_2607	0.0	890.0	COG2216@1|root,COG2216@2|Bacteria,1MU7D@1224|Proteobacteria,42NGX@68525|delta/epsilon subdivisions,2WJC0@28221|Deltaproteobacteria	28221|Deltaproteobacteria	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system	kdpB	-	3.6.3.12	ko:K01547	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	iAF987.Gmet_2434	E1-E2_ATPase,Hydrolase
VVB92126.1	243231.GSU2480	7.31e-262	736.0	COG2060@1|root,COG2060@2|Bacteria,1MV1K@1224|Proteobacteria,42NCD@68525|delta/epsilon subdivisions,2WJ03@28221|Deltaproteobacteria	28221|Deltaproteobacteria	P	Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit binds and transports the potassium across the cytoplasmic membrane	kdpA	GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0008556,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0015672,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0030955,GO:0031420,GO:0034220,GO:0042623,GO:0042625,GO:0042626,GO:0043167,GO:0043169,GO:0043492,GO:0044464,GO:0046872,GO:0046873,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0099131,GO:0099132	3.6.3.12	ko:K01546	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	3.A.3.7	-	-	KdpA
VVB86947.1	693661.Arcve_1845	5.8e-29	115.0	COG0681@1|root,arCOG05454@1|root,arCOG01740@2157|Archaea,arCOG05454@2157|Archaea,2XY8G@28890|Euryarchaeota,246AH@183980|Archaeoglobi	183980|Archaeoglobi	U	PFAM Peptidase S24 S26A S26B, conserved region	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
VVB55874.1	589924.Ferp_0669	8.01e-17	87.8	arCOG10904@1|root,arCOG10904@2157|Archaea,2XY83@28890|Euryarchaeota,246BH@183980|Archaeoglobi	183980|Archaeoglobi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VVB55881.1	1216932.CM240_0127	4.36e-09	61.6	COG0681@1|root,COG0681@2|Bacteria,1V2YD@1239|Firmicutes,25CNY@186801|Clostridia,36WYI@31979|Clostridiaceae	186801|Clostridia	U	Peptidase S24-like	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
VVB91060.1	1297617.JPJD01000014_gene871	5.36e-10	67.4	COG1216@1|root,COG1216@2|Bacteria,1VATJ@1239|Firmicutes,24H9J@186801|Clostridia,268VP@186813|unclassified Clostridiales	186801|Clostridia	S	Glycosyltransferase like family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
VVB55863.1	565033.GACE_1850	2.67e-31	122.0	COG0681@1|root,arCOG01740@2157|Archaea,2XY8G@28890|Euryarchaeota,246AH@183980|Archaeoglobi	183980|Archaeoglobi	U	PFAM Peptidase S24 S26A S26B, conserved region	-	-	3.4.21.89	ko:K13280	ko03060,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
## 67 queries scanned
## Total time (seconds): 1.1743156909942627
## Rate: 57.05 q/s
